Fecha;Sensor;Lectura;Unidades de Lectura;Medida;Unidades de Medida;Flag;Flag Manipulación;Observaciones
27/10/2011 08:00:00;E012NEMBA;710,96;m.s.n.m.;710,96;m.s.n.m.;M;NC;
27/10/2011 08:00:00;E012TEMPMED;13,20;ºC;13,20;ºC;M;NC;
28/10/2011 08:00:00;E012LLUVIAS;2,00;l/m²;2,00;l/m²;M;NC;
28/10/2011 08:00:00;E012NEMBA;710,95;m.s.n.m.;710,95;m.s.n.m.;M;NC;
28/10/2011 08:00:00;E012TEMPMED;14,00;ºC;14,00;ºC;M;NC;
29/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
29/10/2011 08:00:00;E012NEMBA;710,95;m.s.n.m.;710,95;m.s.n.m.;M;NC;
29/10/2011 08:00:00;E012TEMPMED;12,90;ºC;12,90;ºC;M;NC;
30/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
30/10/2011 08:00:00;E012NEMBA;710,94;m.s.n.m.;710,94;m.s.n.m.;M;NC;
30/10/2011 08:00:00;E012TEMPMED;14,90;ºC;14,90;ºC;M;NC;
31/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
31/10/2011 08:00:00;E012NEMBA;710,93;m.s.n.m.;710,93;m.s.n.m.;M;NC;
31/10/2011 08:00:00;E012TEMPMED;13,80;ºC;13,80;ºC;M;NC;
01/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
01/11/2011 08:00:00;E012NEMBA;710,92;m.s.n.m.;710,92;m.s.n.m.;M;NC;
01/11/2011 08:00:00;E012TEMPMED;14,80;ºC;14,80;ºC;M;NC;
02/11/2011 08:00:00;E012LLUVIAS;10,00;l/m²;10,00;l/m²;M;NC;
02/11/2011 08:00:00;E012NEMBA;710,91;m.s.n.m.;710,91;m.s.n.m.;M;NC;
02/11/2011 08:00:00;E012TEMPMED;13,30;ºC;13,30;ºC;M;NC;
03/11/2011 08:00:00;E012LLUVIAS;15,00;l/m²;15,00;l/m²;M;NC;
03/11/2011 08:00:00;E012NEMBA;710,90;m.s.n.m.;710,90;m.s.n.m.;M;NC;
03/11/2011 08:00:00;E012TEMPMED;15,30;ºC;15,30;ºC;M;NC;
04/11/2011 08:00:00;E012LLUVIAS;19,00;l/m²;19,00;l/m²;M;NC;
04/11/2011 08:00:00;E012NEMBA;710,91;m.s.n.m.;710,91;m.s.n.m.;M;NC;
04/11/2011 08:00:00;E012TEMPMED;10,30;ºC;10,30;ºC;M;NC;
05/11/2011 08:00:00;E012LLUVIAS;1,00;l/m²;1,00;l/m²;M;NC;
05/11/2011 08:00:00;E012NEMBA;710,95;m.s.n.m.;710,95;m.s.n.m.;M;NC;
05/11/2011 08:00:00;E012TEMPMED;9,80;ºC;9,80;ºC;M;NC;
06/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
06/11/2011 08:00:00;E012NEMBA;710,98;m.s.n.m.;710,98;m.s.n.m.;M;NC;
06/11/2011 08:00:00;E012TEMPMED;10,60;ºC;10,60;ºC;M;NC;
